Designator,Mid X,Mid Y,Rotation,Layer
A1,118.785,-69.86,0.0,top
SW1,182.25,-141.25,180.0,top
SW10,146.4,-79.95,0.0,top
SW11,166.9,-63.45,0.0,top
SW12,192.9,-60.95,0.0,top
SW13,217.9,-68.95,0.0,top
SW14,150.4,-105.95,0.0,top
SW15,170.9,-89.45,0.0,top
SW16,196.9,-86.95,0.0,top
SW17,221.9,-94.95,0.0,top
SW18,126.6,-132.725,0.0,top
SW2,192.25,-141.25,180.0,top
SW3,202.25,-141.25,180.0,top
SW4,205.75,-136.75,0.0,top
SW5,215.75,-136.75,0.0,top
SW6,225.75,-136.75,0.0,top
SW7,81.0,-67.0,0.0,top
SW8,106.5,-73.0,0.0,top
SW9,123.5,-93.0,0.0,top
